City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Nikolskoye,0,RU,1556052027,46,59.7,30.79,285.15,3
Bhadrak,0,IN,1556052095,83,21.06,86.51,300.712,2.4
Airai,55,TL,1556052095,72,-8.93,125.41,296.912,3.41
Muravlenko,42,RU,1556052095,81,63.79,74.5,260.712,3.76
Port Elizabeth,1,US,1556052079,34,39.31,-74.98,302.04,4.6
Vila Velha,75,BR,1556051880,78,-3.71,-38.6,301.15,4.1
Port-Gentil,40,GA,1556049600,88,-0.72,8.78,301.15,4.6
Salalah,0,OM,1556049000,61,17.01,54.1,301.15,1
Flagstaff,20,US,1556051764,36,35.2,-111.65,296.48,3.1
Chama,99,ZM,1556052096,85,-11.22,33.16,292.212,1.1
Havelock,20,US,1556052053,38,34.88,-76.9,299.26,6.2
Ambovombe,22,MG,1556052096,83,-25.18,46.09,298.812,12.81
Kupang,90,ID,1556052097,73,-10.16,123.6,301.212,7.52
Comodoro Rivadavia,0,AR,1556049600,54,-45.87,-67.48,287.15,4.1
Santiago de Cao,40,PE,1556049600,83,-7.96,-79.24,296.15,3.1
Katsuura,75,JP,1556051883,93,33.93,134.5,290.93,8.7
Gao,34,ML,1556052162,26,16.28,-0.04,308.612,6.47
Boddam,40,GB,1556052123,87,57.47,-1.78,281.48,3.6
Gualeguaychu,0,AR,1556051994,74,-33.01,-58.51,290.93,0.89
Mahebourg,20,MU,1556051961,83,-20.41,57.7,298.15,1.97
Ada,1,US,1556052029,48,47.3,-96.52,294.26,7.2
Yulara,0,AU,1556049600,59,-25.24,130.99,289.15,3.6
Burley,1,US,1556049180,34,42.54,-113.79,292.15,5.7
Tetiyiv,0,UA,1556052163,58,49.38,29.66,282.412,2.78
Anito,39,PH,1556052163,91,12.45,125.29,297.712,2.3
Bethel,90,US,1556050920,74,60.79,-161.76,271.15,3.6
Namibe,15,AO,1556052164,76,-15.19,12.15,295.512,4.8
Eirunepe,89,BR,1556052164,63,-6.66,-69.87,304.012,0.86
Jobat,0,IN,1556052164,22,22.42,74.57,304.212,3.84
Belaya Gora,100,RU,1556052165,96,68.54,146.19,271.312,2.04
Greeneville,1,US,1556052159,38,36.16,-82.83,301.48,3.1
General Roca,0,AR,1556049600,49,-39.03,-67.58,293.15,5.7
Kadiri,40,IN,1556051893,58,14.11,78.16,300.812,2.86
Faanui,79,PF,1556052165,73,-16.48,-151.75,301.812,2.7
Port Alfred,84,ZA,1556052101,97,-33.59,26.89,290.93,1.34
Port Hedland,0,AU,1556049600,56,-20.31,118.58,296.15,3.6
Shumyachi,5,RU,1556052166,51,53.86,32.43,283.912,1.33
Bitung,40,ID,1556049600,94,1.44,125.19,298.15,1
Dunedin,98,NZ,1556051589,92,-45.87,170.5,285.37,3.18
Raton,90,US,1556052093,81,36.9,-104.44,280.37,3.6
Charleston,20,US,1556051911,26,38.35,-81.63,302.59,6.7
Miri,100,NG,1556052166,51,10.31,9.75,302.812,2.84
Karratha,12,AU,1556052166,18,-20.74,116.85,300.512,3.77
Qandala,42,SO,1556052166,68,11.47,49.87,302.412,1.52
Khatanga,100,RU,1556052167,92,71.98,102.47,268.712,9.04
Clyde River,40,CA,1556049600,64,70.47,-68.59,254.15,5.7
Lokachi,0,UA,1556050237,41,50.74,24.65,285.37,6.74
Kanigoro,67,ID,1556052167,94,-8.13,112.22,296.912,1.18
Zhezkazgan,31,KZ,1556052167,44,47.8,67.71,281.012,2.62
Johi,0,PK,1556052167,33,26.69,67.61,308.512,4.8
Yamnytsya,0,UA,1556049600,40,48.99,24.71,285.15,7
Chokurdakh,100,RU,1556052168,96,70.62,147.9,270.712,3.35
Vila Franca do Campo,75,PT,1556052141,77,37.72,-25.43,289.15,7.7
Mezhdurechensk,73,RU,1556052168,79,53.69,88.07,274.012,1.43
Te Anau,84,NZ,1556052168,94,-45.41,167.72,279.712,1.48
Claresholm,40,CA,1556051670,25,50.02,-113.58,293.15,15.9
Svetlogorsk,40,RU,1556049600,56,53.14,59.15,278.15,4
Padang,100,ID,1556052169,76,-0.92,100.36,301.212,5.45
Cabo San Lucas,40,MX,1556051494,39,22.89,-109.91,303.15,2.6
Hilo,90,US,1556052045,83,19.71,-155.08,296.48,4.93
Palmas Bellas,75,PA,1556052106,83,9.23,-80.09,304.82,1
Arraial do Cabo,20,BR,1556049600,74,-22.97,-42.02,301.15,5.1
Ujjain,62,IN,1556052235,16,23.17,75.79,306.112,6.09
Young,7,UY,1556052120,74,-32.7,-57.63,290.93,1.79
Avera,1,US,1556052236,30,33.19,-82.53,304.82,3.1
Aguadilla,40,PR,1556052053,69,18.43,-67.15,302.04,4.93
Saint George,75,GR,1556051619,82,39.45,22.34,288.15,2.1
Kumluca,98,TR,1556052236,74,36.37,30.29,279.412,1.15
Marrakesh,75,MA,1556049600,93,31.63,-7.99,284.15,3.1
Doka,44,SD,1556052237,9,13.52,35.76,306.512,5.15
Lorengau,100,PG,1556052237,83,-2.02,147.27,299.912,1.77
Iralaya,6,HN,1556052237,51,15,-83.23,304.312,3.04
Durban,100,FR,1556052155,100,43.54,0.58,287.15,3.1
Acapulco,5,MX,1556048940,66,16.86,-99.88,303.15,3.6
Pevek,0,RU,1556052238,69,69.7,170.27,262.312,1.18
Port Hardy,40,CA,1556049600,61,50.7,-127.42,283.15,5.1
King City,1,US,1556052014,19,36.21,-121.13,303.15,1.5
Bambous Virieux,20,MU,1556051961,83,-20.34,57.76,298.15,1.97
Heihe,20,RU,1556049600,86,50.24,127.51,274.15,3
Muriti,100,TZ,1556052238,63,-1.99,32.93,297.612,2.88
Hofn,100,IS,1556052238,99,64.25,-15.21,275.212,5.57
Chambarak,21,AM,1556052239,93,40.6,45.35,269.412,0.14
Homer,75,US,1556052122,55,59.64,-151.54,278.71,4.6
Butaritari,92,KI,1556052239,81,3.07,172.79,301.912,9.01
Along,33,IN,1556052239,72,28.17,94.8,283.412,2.25
Talcahuano,90,CL,1556049600,76,-36.72,-73.12,286.15,2.1
Kurilsk,100,RU,1556052239,81,45.23,147.88,276.712,8.48
Cedar City,75,US,1556051403,48,37.68,-113.06,289.82,4.6
Georgetown,40,GY,1556049600,74,6.8,-58.16,304.15,5.1
Zlobin,75,HR,1556052127,93,45.29,14.65,286.48,3.45
Mubende,96,UG,1556052240,82,0.56,31.4,290.212,0.44
Kruisfontein,100,ZA,1556052240,94,-34,24.73,289.012,4.53
Inirida,75,CO,1556052241,52,3.87,-67.92,306.712,0.85
Saint-Philippe,20,CA,1556052167,48,45.36,-73.48,292.15,4.1
Oyem,62,GA,1556052241,97,1.6,11.57,295.612,1.51
Bandarbeyla,84,SO,1556052241,73,9.49,50.81,300.012,3.11
Mitu,23,IR,1556052241,63,36.2,46.09,273.512,0.33
Palmer,20,AU,1556052225,93,-34.85,139.16,284.82,1
Ternate,20,PH,1556052184,69,14.29,120.72,302.59,2.1
Bonavista,100,CA,1556051533,86,48.65,-53.11,273.15,1.34
Yar-Sale,0,RU,1556052243,88,66.83,70.83,255.512,2.57
Edmonds,90,US,1556052086,81,47.81,-122.38,288.71,5.7
Sagua la Grande,20,CU,1556049000,45,22.81,-80.07,301.15,5.7
Agadez,1,NE,1556049360,7,16.97,7.99,307.15,11.49
Nemuro,70,JP,1556052244,90,43.32,145.57,279.412,8.54
Mago,98,RU,1556052244,84,53.27,140.15,273.012,5.81
Moctezuma,0,MX,1556052309,14,29.81,-109.68,294.812,2.49
Naze,100,NG,1556052309,82,5.43,7.07,299.812,2.83
Livani,0,LV,1556052309,55,56.35,26.18,283.612,1.69
Tomatlan,61,MX,1556052309,48,19.93,-105.25,302.312,4.6
Pacific Grove,1,US,1556052306,52,36.62,-121.92,305.37,2.6
Mpulungu,72,ZM,1556052310,93,-8.77,31.12,290.212,1.94
Esperance,40,TT,1556052306,62,10.24,-61.45,304.15,6.7
Garbolovo,0,RU,1556052230,46,60.34,30.5,285.15,3
Waingapu,53,ID,1556052310,83,-9.65,120.26,298.112,6
Salinopolis,100,BR,1556052310,77,-0.61,-47.36,301.212,5.31
Ouadda,55,CF,1556052310,17,8.07,22.4,298.212,1.46
Bokony,0,HU,1556048700,58,47.73,21.75,285.15,1.5
Zyryanka,100,RU,1556052311,92,65.73,150.89,271.712,1.33
Tau,0,NO,1556052019,26,59.06,5.93,289.15,4.6
Alofi,75,NU,1556049600,74,-19.06,-169.92,299.15,6.2
Ilam,0,IR,1556049600,80,33.64,46.42,277.15,2.1
Payo,100,ID,1556052311,95,-3.75,103.64,294.412,0.99
Cap-Chat,54,CA,1556052312,63,49.1,-66.68,279.612,5.42
Taoudenni,0,ML,1556052313,12,22.68,-3.98,301.412,4.64
Iqaluit,90,CA,1556052162,71,63.75,-68.52,257.15,3.1
Hokitika,9,NZ,1556052313,64,-42.72,170.96,288.212,1.01
Pangnirtung,75,CA,1556049600,65,66.15,-65.72,257.15,7.7
Yining,99,CN,1556052313,88,29.04,114.56,293.812,0.8
Lixourion,75,GR,1556052310,67,38.2,20.43,290.93,10.3
The Valley,20,AI,1556051478,61,18.22,-63.06,301.15,4.1
Muros,75,ES,1556052309,81,42.77,-9.06,283.71,3.6
Kajaani,0,FI,1556049000,49,64.22,27.73,281.15,3.1
Amapa,40,HN,1556052049,52,15.09,-87.97,306.15,8.2
Opuwo,3,NA,1556052314,36,-18.06,13.84,295.112,1.82
Saint-Pierre,0,FR,1556052125,82,48.95,4.24,287.15,2.1
Beloha,58,MG,1556052315,80,-25.17,45.06,296.912,6.9
Longyearbyen,75,NO,1556049000,68,78.22,15.63,272.15,8.7
Sao Felix do Xingu,100,BR,1556052078,96,-6.64,-51.99,297.412,1.66
Zigong,92,CN,1556052315,57,29.34,104.78,296.012,1.02
Utete,100,TZ,1556052315,90,-7.99,38.76,298.112,0.88
Tiarei,75,PF,1556052183,66,-17.53,-149.33,304.15,2.6
Crib Point,100,AU,1556052311,90,-38.35,145.2,289.26,1.37
Burnie,100,AU,1556052304,92,-41.05,145.91,282.59,0.45
Toora-Khem,2,RU,1556052316,64,52.47,96.11,267.912,0.57
Chengalpattu,40,IN,1556049600,79,12.68,79.98,303.15,1.78
Camalu,0,MX,1556052096,86,30.85,-116.07,288.812,5.94
Cayenne,100,GF,1556049600,94,4.94,-52.33,298.15,2.78
Raahe,0,FI,1556052200,75,64.68,24.47,282.59,3.6
Malaga,0,AU,1556052220,59,-31.86,115.89,290.15,2.6
Tucuman,16,PE,1556052382,66,-17.17,-70.89,289.412,3.76
Aklavik,90,CA,1556050140,73,68.22,-135.01,269.15,6.2
Nome,75,US,1556052377,69,30.04,-94.42,297.15,4.6
Mbaiki,24,CF,1556052382,60,3.87,17.99,300.012,1.35
Bathsheba,42,BB,1556052317,71,13.22,-59.52,300.012,4.73
Lake Cowichan,75,CA,1556052368,71,48.82,-124.05,288.71,5.1
Qaanaaq,100,GL,1556052383,72,77.48,-69.36,253.812,1.96
Lundamo,0,NO,1556052317,65,63.15,10.29,289.15,8.7
Akdepe,0,TM,1556049600,81,42.05,59.39,284.15,3.1
Ketchikan,90,US,1556049900,75,55.34,-131.65,280.15,2.1
Alta Floresta,87,BR,1556052383,79,-9.87,-56.08,301.112,1.15
Tasiilaq,75,GL,1556049000,79,65.61,-37.64,271.15,3.1
Nivala,53,FI,1556052305,56,63.93,24.96,283.15,0.89
Pudozh,0,RU,1556052384,92,61.81,36.54,279.712,2.38
Torres,67,BR,1556052161,86,-29.34,-49.73,292.412,2.05
Am Timan,71,TD,1556052384,9,11.04,20.28,306.912,1.32
Kulhudhuffushi,96,MV,1556052384,79,6.62,73.07,302.612,5.15
Batagay,0,RU,1556052384,78,67.65,134.64,266.612,2.71
Andra,56,RU,1556052385,78,62.52,65.89,269.212,1.91
Adrar,0,DZ,1556049600,11,27.87,-0.29,300.15,5.7
Oktyabrskiy,40,RU,1556051671,50,55.61,37.97,288.71,2
Victoria,75,BN,1556049600,83,5.28,115.24,302.04,3.65
Portland,75,US,1556052136,63,45.52,-122.67,292.59,2.1
Mahon,75,IE,1556052339,93,51.89,-8.4,284.82,3.6
Finnsnes,75,NO,1556050800,93,69.23,17.98,279.15,3.6
Xam Nua,26,LA,1556052386,71,20.42,104.04,292.412,1.23
Cockburn Town,0,TC,1556052342,67,21.46,-71.14,299.312,3.39
Belyy Yar,0,RU,1556049600,79,53.6,91.39,271.15,3
San Vicente,40,SV,1556052036,66,13.64,-88.78,304.15,4.6
Komsomolskiy,100,RU,1556052387,88,67.55,63.78,259.312,2.83
Rosarno,20,IT,1556052325,82,38.49,15.98,290.93,1
Ulaangom,0,MN,1556052387,47,49.98,92.07,273.412,0.87
Samarai,97,PG,1556052387,97,-10.62,150.67,297.812,1.58
La Chapelle-sur-Erdre,0,FR,1556052339,87,47.3,-1.55,287.59,1
Luena,79,AO,1556052388,92,-11.78,19.91,290.512,0.5
Ugoofaaru,100,MV,1556052388,78,5.67,73,302.812,4.87
San Cristobal,75,EC,1556051470,64,-0.39,-78.55,294.15,5.7
Torbay,90,CA,1556052384,69,47.66,-52.73,274.26,4.6
Mogadishu,100,SO,1556052388,78,2.04,45.34,301.412,3.31
Mehamn,90,NO,1556049000,93,71.03,27.85,278.15,1
San Carlos de Bariloche,0,AR,1556049600,16,-41.13,-71.31,291.15,3.6
Sistranda,0,NO,1556052276,76,63.73,8.83,285.37,2.6
Ostersund,0,SE,1556051123,35,63.18,14.64,286.15,3.6
Saldanha,26,PT,1556052454,82,41.42,-6.55,278.312,2.82
Poum,14,MK,1556052454,90,41.28,20.71,280.812,2.79
Richards Bay,8,ZA,1556052454,84,-28.77,32.06,296.612,6.77
Tamandare,94,BR,1556052455,58,-8.28,-70.75,304.412,1.48
Puerto Ayora,90,EC,1556052348,94,-0.74,-90.35,299.82,3.1
Jalu,100,LY,1556052185,12,29.03,21.55,302.412,8.87
Ilulissat,75,GL,1556049000,78,69.22,-51.1,264.15,5.1
Sao Joao da Barra,20,BR,1556049600,69,-21.64,-41.05,301.15,8.2
Diu,0,IN,1556052455,73,20.71,70.98,298.512,5.94
Tolaga Bay,100,NZ,1556052455,97,-38.37,178.3,287.812,0.7
Kathmandu,20,NP,1556050800,88,27.71,85.32,290.15,1.5
Spremberg,90,DE,1556052364,66,51.57,14.37,287.59,7.2
Vao,0,EE,1556052456,60,59.1,26.19,281.912,1.13
Kamaishi,100,JP,1556052456,89,39.28,141.86,281.512,0.4
Pravda,75,BG,1556052449,58,43.16,25.69,287.15,4.1
Sigli,85,ID,1556052456,83,5.38,95.96,298.612,0.89
Chapais,90,CA,1556049780,52,49.78,-74.86,278.15,5.1
Dzilam Gonzalez,0,MX,1556052456,73,21.28,-88.93,299.812,10.18
Sungaipenuh,100,ID,1556052446,92,-2.08,101.38,296.112,1.33
Tingi,56,TZ,1556052457,84,-11.3,35.03,294.312,0.71
Bosaso,45,SO,1556052457,69,11.28,49.18,302.112,1.9
Ayan,25,TR,1556052457,64,40.67,33.6,274.812,1.66
Marsh Harbour,0,BS,1556052457,63,26.54,-77.06,295.912,5.33
Mallow,75,IE,1556052339,93,52.14,-8.65,287.15,3.6
Kenai,75,US,1556052424,51,60.55,-151.26,278.71,2.1
Capao da Canoa,3,BR,1556052458,80,-29.75,-50.01,293.412,4.36
Griffith,0,AU,1556049600,87,-34.29,146.06,289.15,1.5
Locri,20,IT,1556052325,82,38.24,16.26,290.93,1
Ubon Ratchathani,25,TH,1556052151,70,15.23,104.86,306.48,2.1
Truro,40,GB,1556052323,82,50.26,-5.05,287.59,7.2
Tual,100,ID,1556052460,78,-5.67,132.75,303.012,8
Ca Mau,92,VN,1556052460,81,9.18,105.15,300.812,1.33
Tiksi,4,RU,1556052460,81,71.64,128.87,264.312,5.72
Mount Gambier,99,AU,1556049600,93,-37.83,140.78,279.15,2.6
Dwarka,20,IN,1556052307,43,28.58,77.04,308.15,3.1
Mashhad,75,IR,1556049600,75,36.3,59.61,280.15,7.2
Hearst,0,CA,1556052462,56,49.69,-83.67,281.012,4.55
Vanimo,98,PG,1556052462,79,-2.67,141.3,301.612,5.64
Kirillov,0,RU,1556049600,81,59.86,38.38,279.15,2
Saint-Leu,0,RE,1556052455,74,-21.15,55.28,299.15,2.6
Lata,0,IN,1556052463,63,30.78,78.62,271.312,5.17
Yerbogachen,100,RU,1556052463,88,61.28,108.01,272.612,5.63
San Patricio,2,PY,1556052463,75,-26.98,-56.83,298.612,2.39
Burpengary,40,AU,1556052405,88,-27.16,152.97,293.15,3.1
Vallenar,0,CL,1556052528,42,-28.58,-70.76,294.012,2.86
Leningradskiy,62,RU,1556052528,86,69.38,178.42,260.012,2.58
Senneterre,90,CA,1556049600,100,48.39,-77.24,275.15,3.6
Ulladulla,0,AU,1556052319,100,-35.36,150.48,288.71,1.36
Rocha,74,UY,1556052529,82,-34.48,-54.34,287.912,2.89
Fare,57,PF,1556052529,77,-16.7,-151.02,301.312,3.03
Tromso,75,NO,1556050800,93,69.65,18.96,279.15,3.6
Amarpur,1,IN,1556052529,48,23.52,91.65,298.712,0.49
Skjervoy,75,NO,1556049000,100,70.03,20.97,278.15,7.2
Nelson Bay,90,AU,1556052367,100,-32.72,152.14,290.93,3.71
Ales,90,FR,1556052429,93,44.13,4.08,288.15,7.2
Dingle,57,PH,1556052530,86,11,122.67,296.412,3.2
Coihaique,0,CL,1556049600,50,-45.58,-72.07,288.15,3.1
Ituiutaba,76,BR,1556052530,70,-18.97,-49.46,298.612,0.83
Saint Anthony,75,US,1556052329,36,43.97,-111.68,291.48,3.6
Morant Bay,40,JM,1556049600,52,17.88,-76.41,304.15,4.1
Bireun,86,ID,1556052472,91,5.2,96.7,294.512,0.58
Katrineholm,0,SE,1556052513,70,59,16.21,283.15,2.6
Yantzaza,90,EC,1556049600,61,-3.83,-78.76,299.15,4.6
Laibin,22,CN,1556052531,98,23.74,109.23,295.712,2.74
Tambilil,59,PH,1556052531,72,5.96,124.67,300.012,2.46
Lander,1,US,1556052319,34,42.83,-108.73,291.15,2.1
Fortuna,20,ES,1556052527,82,38.18,-1.13,289.15,3.6
San Benito,46,CO,1556052532,75,6.13,-73.51,297.312,1.49
Laguna,5,MX,1556048400,30,27.52,-110.01,301.15,2.1
Usak,99,TR,1556052532,52,38.67,29.41,284.412,1.24
Lubango,8,AO,1556052532,62,-14.92,13.49,294.612,1.16
Sobolevo,11,RU,1556052532,51,54.43,31.9,283.612,1.45
Nsukka,100,NG,1556052533,69,6.86,7.39,301.912,2.65
Nabire,100,ID,1556052533,99,-3.36,135.5,294.912,0.38
Rio Gallegos,0,AR,1556049600,43,-51.62,-69.22,286.15,4.1
Lyngdal,0,NO,1556052410,41,58.14,7.07,287.15,4.6
Aracati,78,BR,1556052497,93,-4.56,-37.77,298.212,2.12
Constitucion,90,MX,1556052015,9,23.99,-104.67,299.82,3.1
Vodnyy,100,RU,1556052533,96,63.51,53.41,275.112,3
Laurens,1,US,1556052442,30,34.5,-82.02,303.15,3.1
Gigmoto,26,PH,1556052534,80,13.78,124.39,300.612,3.74
Petropavlovsk-Kamchatskiy,75,RU,1556049600,82,53.05,158.65,273.15,2
Sao Domingos,97,BR,1556052534,82,-13.4,-46.32,297.912,1.81
Burns Lake,98,CA,1556052534,41,54.23,-125.76,278.612,4.32
Wanning,40,AT,1556052516,71,48.64,13.53,285.93,7.7
Westport,0,IE,1556052184,62,53.8,-9.52,288.15,4.1
Makakilo City,20,US,1556052442,51,21.35,-158.09,301.15,4.1
Baghdad,0,IQ,1556049600,62,33.3,44.38,288.15,3.1
Simao,23,CN,1556052535,44,22.76,100.79,292.112,0.71
Los Llanos de Aridane,40,ES,1556052471,72,28.66,-17.92,291.15,8.2
Damara,25,CF,1556052600,50,4.96,18.7,301.712,1.67
Kumylzhenskaya,79,RU,1556051675,70,49.88,42.59,286.48,3.72
Bahia Honda,0,CU,1556052600,72,22.9,-83.16,298.112,9.1
